漢字,振り仮名,上の方が優先されます！,最初の順番,文字数
鉄錆地塗蓬糸威革包菱綴桶側二枚胴具足,てつさびじぬりよもぎいとおどしかわつつみひしつづりおけがわにまいどうぐそく,福島正則,272,18
黒塗濃紺糸威革包菱綴桶側二枚胴具足,くろぬりのうこんいとおどしかわつつみひしつづりおけがわにまいどうぐそく,山内一豊,274,17
黒手時代塗本革包菱綴桶側二枚胴具足,くろてじだいぬりほんかわつつみひしつづりおけがわにまいどうぐそく,黒田長政,278,17
三鍬形後立鉄黒漆塗六十二間小星兜,みつくわがたうしろだててつくろうるしぬりろくじゅうにけんこぼしかぶと,小早川秀秋,256,16
鉄錆地塗当世小札黒糸威二枚胴具足,てつさびじぬりとうせいこざねくろいとおどしにまいどうぐそく,石田三成,267,16
緋羅紗地大に渦巻文様切付陣羽織,ひらしゃじだいにうずまきもんようきっつけじんばおり,毛利勝永,262,15
黒手時代塗濃紺威桶側二枚胴具足,くろてじだいぬりのうこんおどしおけがわにまいどうぐそく,藤堂高虎,280,15
伊予札縹糸下散紅糸威胴丸具足,いよざねはなだいとけさんくれないいとおどしどうまるぐそく,脇坂安治,255,14
猩々緋羅紗地違い鎌模様陣羽織,しょうじょうひらしゃじちがいかまもようじんばおり,小早川秀秋,258,14
黒塗緋糸威当世小札胴丸具足,くろぬりひいとおどしとうせいこざねどうまるぐそく,毛利輝元,263,13
黒塗黒糸威伊予札二枚胴具足,くろぬりくろいとおどしいよざねにまいどうぐそく,大谷吉継,269,13
羊歯鍍金前立黒塗大黒頭巾兜,しだときんまえたてくろぬりだいこくずきんかぶと,徳川家康,281,13
朱漆塗紺糸威桶側二枚胴具足,しゅうるしぬりこんいとおどしおけがわにまいどうぐそく,井伊直政,285,13
鳥毛頭立黒手時代塗頭形兜,とりげずだてくろてじだいぬりずなりかぶと,細川忠興,275,12
黒革包濃紺糸威二枚胴具足,くろかわつつみのうこんいとおどしにまいどうぐそく,細川忠興,276,12
丸|に|三|つ|引|き,まる|に|み|つ|ひ|き,,55,11
黒漆塗桃形大水牛脇立兜,くろうるしぬりももなりだいすいぎゅうわきだてかぶと,福島正則,271,11
文治派|<|行|>|,ぶんちは|<|ゆく|>|,,1,10
文治派|<|継|>|,ぶんちは|<|つぐ|>|,,2,10
文治派|<|成|>|,ぶんちは|<|なる|>|,,3,10
この|城|は|後|に,この|しろ|は|のち|に,,54,10
下|に|置|いてある,した|に|お|いてある,,227,10
銀箔押一|の|谷形兜,ぎんぱくおしいち|の|たにがたかぶと,黒田長政,277,10
伊予札黒糸威胴丸具足,いよざねくろいとおどしどうまるぐそく,徳川家康,282,10
丸|に|三|つ|鱗,まる|に|み|つ|うろこ,,63,9
月|の|輪|の|兜,つき|の|わ|の|かぶと,宇喜多秀家,264,9
黒手時代塗唐冠形兜,くろてじだいぬりとうかんむりなりかぶと,藤堂高虎,279,9
牛皮小札黒糸威具足,ぎゅうひこざねくろいとおどしぐそく,本多忠勝,287,9
徳川|の|下|で,とくがわ|の|した|で,,26,8
手|に|入|れて,て|に|い|れて,,66,8
イタイイタイ|病,イタイイタイ|びょう,,130,8
押|し|留|めて,お|し|とど|めて,,197,8
紫糸威二枚胴具足,むらさきいとおどしにまいどうぐそく,小早川秀秋,257,8
金箔押御幣後立兜,きんぱくおしごへいうしろだてかぶと,山内一豊,273,8
銀箔置白糸威具足,ぎんぱくおきしろいとおどしぐそく,松平忠吉,283,8
むしろ|殿|に,むしろ|しんがり|に,,9,7
後|に|開|く,のち|に|ひら|く,,52,7
長門三|つ|星,ながとみ|つ|ぼし,,58,7
丸|に|剣片喰,まる|に|けんかたばみ,,59,7
入|れる|足湯,はい|れる|あしゆ,,129,7
|<|主|>|,|<|しゅ|>|,,131,7
|<|従|>|,|<|じゅう|>|,,132,7
|「|召|」|,|「|しょう|」|,,229,7
赤色|の|前立,あかいろ|の|まえたて,島左近,265,7
乱髪天衝脇立兜,らんぱつてんつきわきだてかぶと,石田三成,266,7
伝可児才蔵甲冑,でんかにさいぞうかっちゅう,可児才蔵,270,7
日本三大水城,にほんさんだいみずじろ,,4,6
大河|ドラマ,たいが|ドラマ,,5,6
キリスト|教,キリスト|きょう,,10,6
剣豪|の|方,けんごう|の|かた,,49,6
七|つ|片喰,なな|つ|かたばみ,,53,6
三|つ|葉葵,み|つ|ばあおい,,67,6
朝鮮|の|役,ちょうせん|の|えき,,68,6
年|に8|回,ねん|に8|かい,,126,6
全身入|れた,ぜんしんはい|れた,,128,6
慶長|の|役,けいちょう|の|えき,,193,6
米|のことだ,こめ|のことだ,,199,6
はっばっ|行,はっばっ|い,,202,6
与|そうとも,くみ|そうとも,,230,6
白糸威水牛兜,しろいとおどしすいぎゅうかぶと,毛利勝永,261,6
口惜|しき,くちお|しき,,8,5
石田三成殿,いしだみつなりどの,,14,5
山内一豊殿,やまうちかずとよどの,,17,5
退|き|口,の|き|ぐち,,27,5
福島正則殿,ふくしままさのりどの,,30,5
明石全登殿,あかしてるずみどの,,32,5
千代|さん,ちよ|さん,,35,5
思|うまい,おも|うまい,,48,5
酒|の|瓶,さけ|の|かめ,,50,5
鹿|の|子,しか|の|こ,,51,5
三|つ|柏,み|つ|かしわ,,60,5
対|い|蝶,むか|い|ちょう,,61,5
笠|の|緒,かさ|の|お,,178,5
霧|の|中,きり|の|なか,,186,5
場合好|き,ばあいす|き,,228,5
天衝脇立兜,てんつきわきだてかぶと,井伊直政,284,5
鹿角脇立兜,かづのわきだてかぶと,本多忠勝,286,5
高山本線,たかやまほんせん,,6,4
本美濃紙,ほんみのし,,7,4
脇坂安治,わきざかやすはる,,11,4
豊臣秀吉,とよとみひでよし,,12,4
斎藤道三,さいとうどうさん,,13,4
石田三成,いしだみつなり,,15,4
有名有実,ゆうめいゆうじつ,,16,4
山内一豊,やまうちかずとよ,,18,4
垂井城主,たるいじょうしゅ,,20,4
坊主大名,ぼうずだいみょう,,21,4
小山評定,おやまひょうじょう,,22,4
松平忠吉,まつだいらただよし,,23,4
一世一代,いっせいいちだい,,24,4
一向一揆,いっこういっき,,25,4
被|った,かぶ|った,,28,4
細川家中,ほそかわかちゅう,,29,4
二十五年,にじゅうごねん,,56,4
怒|って,おこ|って,,64,4
六条河原,ろくじょうがわら,,71,4
百戦錬磨,ひゃくせんれんま,,77,4
佐和山城,さわやまじょう,,78,4
二十六人,にじゅうろくにん,,200,4
南蛮形兜,なんばんがたかぶと,吉川広家,259,4
三巴具足,みつどもえぐそく,吉川広家,260,4
一豊殿,かずとよどの,,19,3
正則殿,まさのりどの,,31,3
全登殿,てるずみどの,,33,3
三成殿,みつなりどの,,34,3
内府殿,ないふどの,,36,3
豊臣方,とよとみがた,,37,3
不破関,ふわのせき,,38,3
噴泉池,ふんせんち,,39,3
三万石,さんまんごく,,40,3
十文字,じゅうもんじ,,41,3
七本槍,しちほんやり,,42,3
愛発関,あらちのせき,,43,3
鈴鹿関,すずかのせき,,44,3
杭瀬川,くいせがわ,,45,3
刑部殿,ぎょうぶどの,,46,3
中書島,ちゅうしょじま,,47,3
武田菱,たけだびし,,57,3
祇園守,ぎおんまもり,,62,3
藤堂蔦,とうどうつた,,65,3
八丈島,はちじょうじま,,69,3
十字架,じゅうじか,,70,3
総大将,そうだいしょう,,72,3
福島家,ふくしまけ,,73,3
一枚岩,いちまいいわ,,74,3
四天王,してんのう,,75,3
山陽道,さんようどう,,76,3
桑名城,くわなじょう,,79,3
帖佐館,ちょうさやかた,,80,3
名島城,なじまじょう,,81,3
浦戸城,うらどじょう,,82,3
高嶺城,こうのみねじょう,,83,3
櫛崎城,くしざきじょう,,84,3
小倉城,こくらじょう,,85,3
宇土城,うとじょう,,86,3
第二声,だいにせい,,87,3
三国黒,みくにぐろ,,88,3
御吉例,おきちれい,,89,3
第一声,だいいっせい,,90,3
空弁当,からべんとう,,91,3
大一番,おおいちばん,,92,3
大毛利,だいもうり,,93,3
淡路国,あわじのくに,,94,3
筑前国,ちくぜんのくに,,95,3
